state,tier_level_value,total_plans_in_tier,distinct_rxcui,pct_plans_in_tier
  ,1,506,136123,19.984202211690363
  ,2,506,288287,19.984202211690363
  ,3,506,349411,19.984202211690363
  ,4,506,541340,19.984202211690363
  ,5,506,346196,19.984202211690363
  ,6,2,688,0.07898894154818326
AL,1,1893,1593221,20.31987977672821
AL,2,1839,1600385,19.740231859167025
AL,3,1839,1768636,19.740231859167025
AL,4,1839,2044659,19.740231859167025
AL,5,1839,1806695,19.740231859167025
AL,6,67,13333,0.7191927866036926
AR,1,2656,2786719,20.944720447914204
AR,2,2391,1884148,18.854979891175773
AR,3,2391,2014621,18.854979891175773
AR,4,2391,2423702,18.854979891175773
AR,5,2391,2139131,18.854979891175773
AR,6,461,109290,3.6353599873826985
AZ,1,365,397871,20.154610712313637
AZ,2,342,407023,18.884594146880175
AZ,3,342,283404,18.884594146880175
AZ,4,342,324886,18.884594146880175
AZ,5,342,344399,18.884594146880175
AZ,6,78,17909,4.307012700165655
CA,1,1136,1067316,19.756521739130434
CA,2,1024,1455920,17.808695652173913
CA,3,1024,694747,17.808695652173913
CA,4,1024,774072,17.808695652173913
CA,5,1024,1048073,17.808695652173913
CA,6,518,115139,9.008695652173913
CO,1,1417,812387,19.617887304444135
CO,2,1417,1159421,19.617887304444135
CO,3,1417,1303889,19.617887304444135
CO,4,1417,1438439,19.617887304444135
CO,5,1417,1304973,19.617887304444135
CO,6,138,21684,1.9105634777793161
CT,1,260,172765,18.786127167630056
CT,2,252,249263,18.208092485549134
CT,3,252,203866,18.208092485549134
CT,4,252,293267,18.208092485549134
CT,5,252,247137,18.208092485549134
CT,6,116,36030,8.38150289017341
DC,1,17,6923,19.318181818181817
DC,2,17,14353,19.318181818181817
DC,3,17,11834,19.318181818181817
DC,4,17,13577,19.318181818181817
DC,5,17,14063,19.318181818181817
DC,6,3,180,3.409090909090909
DE,1,78,75669,20.3125
DE,2,75,58770,19.53125
DE,3,75,57561,19.53125
DE,4,75,67986,19.53125
DE,5,75,62028,19.53125
DE,6,6,867,1.5625
FL,1,2508,2686776,20.737555812799734
FL,2,2308,2291093,19.083843228046966
FL,3,2308,1896899,19.083843228046966
FL,4,2308,2140890,19.083843228046966
FL,5,2144,1955282,17.727798908549694
FL,6,518,91504,4.283115594509674
GA,1,6117,7150699,19.42768214444515
GA,2,5855,5845186,18.595566283427555
GA,3,5855,5495160,18.595566283427555
GA,4,5855,7505821,18.595566283427555
GA,5,5855,6537616,18.595566283427555
GA,6,1949,629146,6.190052721844629
HI,1,77,103915,24.67948717948718
HI,2,57,49368,18.26923076923077
HI,3,57,43379,18.26923076923077
HI,4,57,43185,18.26923076923077
HI,5,57,48511,18.26923076923077
HI,6,7,609,2.2435897435897436
IA,1,2001,2202760,20.244840145690006
IA,2,1879,1541189,19.010522055847836
IA,3,1879,1860020,19.010522055847836
IA,4,1879,2340114,19.010522055847836
IA,5,1879,1900219,19.010522055847836
IA,6,367,122970,3.713071630918656
ID,1,585,298303,19.24342105263158
ID,2,572,403700,18.81578947368421
ID,3,572,523359,18.81578947368421
ID,4,572,536980,18.81578947368421
ID,5,572,475143,18.81578947368421
ID,6,167,31730,5.493421052631579
IL,1,2188,2333952,19.245316210748527
IL,2,2188,2930154,19.245316210748527
IL,3,2181,1748925,19.18374527223151
IL,4,2181,2275851,19.18374527223151
IL,5,2181,2215336,19.18374527223151
IL,6,450,118053,3.9581317618084264
IN,1,3652,1977867,18.752246469833118
IN,2,3631,3306193,18.64441591784339
IN,3,3631,2932398,18.64441591784339
IN,4,3631,4027319,18.64441591784339
IN,5,3631,3379728,18.64441591784339
IN,6,1299,492187,6.670089858793324
KS,1,1129,1157085,20.085394057996798
KS,2,1060,888715,18.85785447429283
KS,3,1060,809557,18.85785447429283
KS,4,1060,1116101,18.85785447429283
KS,5,1060,936562,18.85785447429283
KS,6,252,69398,4.483188044831881
KY,1,4273,3989055,18.957409050576754
KY,2,4243,2944031,18.824312333629102
KY,3,4243,3336120,18.824312333629102
KY,4,4243,4333189,18.824312333629102
KY,5,4243,3455780,18.824312333629102
KY,6,1295,360232,5.745341614906832
LA,1,1898,1675273,20.373550880206096
LA,2,1764,1665961,18.935165306998712
LA,3,1764,1625014,18.935165306998712
LA,4,1764,2126551,18.935165306998712
LA,5,1764,1794587,18.935165306998712
LA,6,362,119935,3.8857878917990556
MA,1,278,325618,18.70794078061911
MA,2,278,408955,18.70794078061911
MA,3,278,295446,18.70794078061911
MA,4,278,286376,18.70794078061911
MA,5,278,327517,18.70794078061911
