ma_region_code,pdp_region_code,state,county_code,geo_statename,geo_county_name,tier_level_value,n_plans,distinct_rxcui,pct_plans_in_tier
07,,  ,,,,1,1,457,0.03949447077409162717
,23,  ,,,,1,15,3779,0.59241706161137440758
15,,  ,,,,1,4,1925,0.15797788309636650869
,11,  ,,,,1,14,3611,0.55292259083728278041
,22,  ,,,,1,15,3779,0.59241706161137440758
,21,  ,,,,1,12,3014,0.47393364928909952607
,05,  ,,,,1,12,3014,0.47393364928909952607
,20,  ,,,,1,12,3014,0.47393364928909952607
16,,  ,,,,1,1,457,0.03949447077409162717
,33,  ,,,,1,12,3230,0.47393364928909952607
,19,  ,,,,1,14,3985,0.55292259083728278041
,34,  ,,,,1,12,3014,0.47393364928909952607
,18,  ,,,,1,14,3483,0.55292259083728278041
04,,  ,,,,1,1,486,0.03949447077409162717
,36,  ,,,,1,1,267,0.03949447077409162717
,38,  ,,,,1,6,1610,0.23696682464454976303
,17,  ,,,,1,15,3779,0.59241706161137440758
17,,  ,,,,1,6,2838,0.23696682464454976303
,01,  ,,,,1,14,3483,0.55292259083728278041
01,,  ,,,,1,1,456,0.03949447077409162717
,16,  ,,,,1,14,3699,0.55292259083728278041
03,,  ,,,,1,1,456,0.03949447077409162717
,37,  ,,,,1,1,267,0.03949447077409162717
,15,  ,,,,1,14,3483,0.55292259083728278041
,39,  ,,,,1,1,267,0.03949447077409162717
06,,  ,,,,1,1,457,0.03949447077409162717
,14,  ,,,,1,14,3483,0.55292259083728278041
21,,  ,,,,1,1,457,0.03949447077409162717
,09,  ,,,,1,13,3232,0.51342812006319115324
08,,  ,,,,1,4,1925,0.15797788309636650869
,13,  ,,,,1,14,3514,0.55292259083728278041
,03,  ,,,,1,11,3014,0.43443917851500789889
09,,  ,,,,1,4,1826,0.15797788309636650869
,02,  ,,,,1,14,3596,0.55292259083728278041
10,,  ,,,,1,1,457,0.03949447077409162717
,12,  ,,,,1,14,3459,0.55292259083728278041
11,,  ,,,,1,1,457,0.03949447077409162717
,08,  ,,,,1,14,3534,0.55292259083728278041
,32,  ,,,,1,16,3775,0.63191153238546603476
12,,  ,,,,1,3,1157,0.11848341232227488152
,31,  ,,,,1,12,3014,0.47393364928909952607
,30,  ,,,,1,12,3230,0.47393364928909952607
,29,  ,,,,1,14,3483,0.55292259083728278041
13,,  ,,,,1,2,671,0.07898894154818325434
,07,  ,,,,1,14,3699,0.55292259083728278041
,28,  ,,,,1,12,3014,0.47393364928909952607
,10,  ,,,,1,14,3483,0.55292259083728278041
,27,  ,,,,1,14,3483,0.55292259083728278041
,26,  ,,,,1,15,3779,0.59241706161137440758
14,,  ,,,,1,1,457,0.03949447077409162717
,25,  ,,,,1,14,3750,0.55292259083728278041
,35,  ,,,,1,1,267,0.03949447077409162717
,06,  ,,,,1,14,4068,0.55292259083728278041
,24,  ,,,,1,15,3995,0.59241706161137440758
,04,  ,,,,1,14,3534,0.55292259083728278041
,28,  ,,,,2,12,6439,0.47393364928909952607
,23,  ,,,,2,15,8160,0.59241706161137440758
,06,  ,,,,2,14,9005,0.55292259083728278041
09,,  ,,,,2,4,2064,0.15797788309636650869
,36,  ,,,,2,1,650,0.03949447077409162717
13,,  ,,,,2,2,1197,0.07898894154818325434
,22,  ,,,,2,15,8160,0.59241706161137440758
,33,  ,,,,2,12,6799,0.47393364928909952607
15,,  ,,,,2,4,2004,0.15797788309636650869
03,,  ,,,,2,1,528,0.03949447077409162717
,05,  ,,,,2,12,6439,0.47393364928909952607
,21,  ,,,,2,12,6439,0.47393364928909952607
10,,  ,,,,2,1,504,0.03949447077409162717
,25,  ,,,,2,14,7959,0.55292259083728278041
,37,  ,,,,2,1,650,0.03949447077409162717
,04,  ,,,,2,14,7599,0.55292259083728278041
,20,  ,,,,2,12,6439,0.47393364928909952607
,27,  ,,,,2,14,8424,0.55292259083728278041
11,,  ,,,,2,1,504,0.03949447077409162717
01,,  ,,,,2,1,528,0.03949447077409162717
,08,  ,,,,2,14,7599,0.55292259083728278041
,19,  ,,,,2,14,8796,0.55292259083728278041
04,,  ,,,,2,1,903,0.03949447077409162717
16,,  ,,,,2,1,504,0.03949447077409162717
,09,  ,,,,2,13,7006,0.51342812006319115324
,32,  ,,,,2,16,9912,0.63191153238546603476
,18,  ,,,,2,14,8424,0.55292259083728278041
,02,  ,,,,2,14,7351,0.55292259083728278041
06,,  ,,,,2,1,504,0.03949447077409162717
,38,  ,,,,2,6,3126,0.23696682464454976303
,03,  ,,,,2,11,6439,0.43443917851500789889
,17,  ,,,,2,15,8160,0.59241706161137440758
,31,  ,,,,2,12,6439,0.47393364928909952607
,11,  ,,,,2,14,7690,0.55292259083728278041
12,,  ,,,,2,3,2100,0.11848341232227488152
07,,  ,,,,2,1,504,0.03949447077409162717
,16,  ,,,,2,14,8784,0.55292259083728278041
,12,  ,,,,2,14,7522,0.55292259083728278041
17,,  ,,,,2,6,3036,0.23696682464454976303
,30,  ,,,,2,12,6799,0.47393364928909952607
,26,  ,,,,2,15,8160,0.59241706161137440758
,15,  ,,,,2,14,8424,0.55292259083728278041
,10,  ,,,,2,14,8424,0.55292259083728278041
,39,  ,,,,2,1,650,0.03949447077409162717
,07,  ,,,,2,14,8784,0.55292259083728278041
,01,  ,,,,2,14,8424,0.55292259083728278041
,14,  ,,,,2,14,8424,0.55292259083728278041
,29,  ,,,,2,14,8424,0.55292259083728278041
14,,  ,,,,2,1,504,0.03949447077409162717
,24,  ,,,,2,15,8520,0.59241706161137440758
,34,  ,,,,2,12,6439,0.47393364928909952607
,13,  ,,,,2,14,7863,0.55292259083728278041
,35,  ,,,,2,1,650,0.03949447077409162717
21,,  ,,,,2,1,504,0.03949447077409162717
08,,  ,,,,2,4,2004,0.15797788309636650869
,39,  ,,,,3,1,984,0.03949447077409162717
21,,  ,,,,3,1,813,0.03949447077409162717
,38,  ,,,,3,6,4847,0.23696682464454976303
,11,  ,,,,3,14,9875,0.55292259083728278041
,37,  ,,,,3,1,984,0.03949447077409162717
,10,  ,,,,3,14,8812,0.55292259083728278041
,36,  ,,,,3,1,984,0.03949447077409162717
,09,  ,,,,3,13,9158,0.51342812006319115324
,35,  ,,,,3,1,984,0.03949447077409162717
,08,  ,,,,3,14,9946,0.55292259083728278041
,34,  ,,,,3,12,8322,0.47393364928909952607
,07,  ,,,,3,14,8495,0.55292259083728278041
,03,  ,,,,3,11,8322,0.43443917851500789889
,33,  ,,,,3,12,8005,0.47393364928909952607
,06,  ,,,,3,14,9532,0.55292259083728278041
,05,  ,,,,3,12,8322,0.47393364928909952607
,04,  ,,,,3,14,9946,0.55292259083728278041
07,,  ,,,,3,1,813,0.03949447077409162717
08,,  ,,,,3,4,3488,0.15797788309636650869
